,app_name,publisher,discount_price,early_access,genres,id,metascore,price,developer,release_date,reviews_url,sentiment,tags,title,url
10734,Genesis Alpha One Deluxe Edition,Team17 Digital Ltd,82.49,0,"Action,Adventure,Indie,RPG,Simulation",712190.0,67.0,329.99,Radiation BlueTeam17 Digital Ltd,17 Digital LtdFranchise:Team17 Digital 25 Feb 2020,http://steamcommunity.com/app/712190/reviews/?browsefilter=mostrecent&p=1,Mostly Positive,"Action Roguelike,Sci-fi,FPS,Base Building,Roguelite,Open World,Horror,Management,Building,Space Sim,Survival,Roguelike,First-Person,3D,Space,Post-apocalyptic,Procedural Generation,Multiple Endings,Survival Horror,Action",Genesis Alpha One Deluxe Edition,https://store.steampowered.com/app/712190/Genesis_Alpha_One_Deluxe_Edition/
10787,WORLD OF HORROR,Ysbryd Games,179.99,1,"Indie,RPG,Early Access",913740.0,80.0,179.99,panstaszYsbryd Games,20 Feb 2020,http://steamcommunity.com/app/913740/reviews/?browsefilter=mostrecent&p=1,Very Positive,"Early Access,Horror,Survival Horror,Point & Click,Roguelite,Lovecraftian,Unforgiving,Psychological Horror,Pixel Graphics,2D,RPG,Survival,Roguelike,Card Game,Turn-Based Combat,Anime,Atmospheric,Mystery,Moddable,Adventure",WORLD OF HORROR,https://store.steampowered.com/app/913740/WORLD_OF_HORROR/
10826,Metro Exodus,Deep Silver ,439.4,0,Action,412020.0,85.0,439.4,4A GamesDeep Silver ,4A GamesPublisher:Deep Silver Franchise:Metro 14 Feb 2019,http://steamcommunity.com/app/412020/reviews/?browsefilter=mostrecent&p=1,Very Positive,"Post-apocalyptic,FPS,Open World,Story Rich,Atmospheric,Singleplayer,Action,First-Person,Survival,Shooter,Horror,Adventure,Stealth,Exploration,Survival Horror,Great Soundtrack,Violent,Psychological Horror,Gore,Sci-fi",Metro Exodus,https://store.steampowered.com/app/412020/Metro_Exodus/
10841,Table Manners: Physics-Based Dating Game,Curve Games,104.99,0,Simulation,1019450.0,51.0,209.99,Echo Chamber GamesCurve Games,14 Feb 2020,http://steamcommunity.com/app/1019450/reviews/?browsefilter=mostrecent&p=1,Mixed,"Simulation,Dating Sim,Intentionally Awkward Controls,Comedy,Funny,Physics,First-Person",Table Manners: Physics-Based Dating Game,https://store.steampowered.com/app/1019450/Table_Manners_PhysicsBased_Dating_Game/
10853,Wolcen: Lords of Mayhem,WOLCEN Studio,257.98,0,"Action,Adventure,Indie,RPG",424370.0,60.0,257.98,WOLCEN StudioWOLCEN Studio,13 Feb 2020,http://steamcommunity.com/app/424370/reviews/?browsefilter=mostrecent&p=1,Mixed,"RPG,Hack and Slash,Action RPG,Multiplayer,Action,Adventure,Loot,Isometric,Indie,Co-op,Character Customization,Early Access,Dungeon Crawler,Singleplayer,Fantasy,Medieval,Dark Fantasy,Top-Down,Controller,Difficult",Wolcen: Lords of Mayhem,https://store.steampowered.com/app/424370/Wolcen_Lords_of_Mayhem/
10854,DAEMON X MACHINA,"XSEED Games, Marvelous USA, Inc., Marvelous",396.87,0,Action,1167450.0,72.0,396.87,"Marvelous Inc.XSEED Games, Marvelous USA, Inc., Marvelous",13 Feb 2020,http://steamcommunity.com/app/1167450/reviews/?browsefilter=mostrecent&p=1,Very Positive,"Action,Mechs,Character Customization,Robots,Anime,Sci-fi,Post-apocalyptic,Multiplayer,Singleplayer,PvP,Great Soundtrack,Third-Person Shooter,Cyberpunk,Co-op,Third Person,RPG",DAEMON X MACHINA,https://store.steampowered.com/app/1167450/DAEMON_X_MACHINA/
10870,LUNA The Shadow Dust,"Coconut Island Games, Application Systems Heidelberg",416.0,0,"Adventure,Casual,Indie",465100.0,75.0,416.0,"Lantern StudioCoconut Island Games, Application Systems Heidelberg",13 Feb 2020,http://steamcommunity.com/app/465100/reviews/?browsefilter=mostrecent&p=1,Very Positive,"Adventure,Casual,Indie,Point & Click,Hand-drawn,Puzzle,Great Soundtrack,Atmospheric,Beautiful,Cartoon,Fantasy,Stylized,Singleplayer,Cute,2D,Story Rich,Mystery,Female Protagonist",LUNA The Shadow Dust,https://store.steampowered.com/app/465100/LUNA_The_Shadow_Dust/
10923,Wargroove: Double Trouble,Chucklefish,0.0,0,"Indie,Strategy",1061140.0,82.0,0.0,ChucklefishChucklefish,6 Feb 2020,http://steamcommunity.com/app/1061140/reviews/?browsefilter=mostrecent&p=1,Positive,"Strategy,Indie,Turn-Based,Turn-Based Strategy,Multiplayer,Pixel Graphics,Turn-Based Tactics,Local Multiplayer,Online Co-Op,Co-op",Wargroove: Double Trouble,https://store.steampowered.com/app/1061140/Wargroove_Double_Trouble/
11000,Bookbound Brigade,"Intragames Co.,Ltd",224.99,0,"Action,Adventure,Indie",1130710.0,63.0,224.99,"Digital Tales USA LLCIntragames Co.,Ltd",30 Jan 2020,http://steamcommunity.com/app/1130710/reviews/?browsefilter=mostrecent&p=1,Mixed,"Action,Indie,Adventure,Metroidvania,Platformer,Puzzle Platformer,2D,Singleplayer,Family Friendly,Replay Value,Cartoony,Colorful,Surreal,Comedy,Side Scroller,Exploration,Difficult,Funny,Cute,Action-Adventure",Bookbound Brigade,https://store.steampowered.com/app/1130710/Bookbound_Brigade/
11005,Ministry of Broadcast,"Hitcents, PLAYISM",33.99,0,"Adventure,Indie",874040.0,67.0,33.99,"Ministry of Broadcast StudiosHitcents, PLAYISM",30 Jan 2020,http://steamcommunity.com/app/874040/reviews/?browsefilter=mostrecent&p=1,Very Positive,"Adventure,Indie,Pixel Graphics,2D,Dystopian,Puzzle Platformer,Singleplayer,Platformer,Political,Retro,Funny,Great Soundtrack,Cinematic,Atmospheric,Replay Value,Difficult,Multiple Endings,Dark Humor,Story Rich",Ministry of Broadcast,https://store.steampowered.com/app/874040/Ministry_of_Broadcast/
11023,Coffee Talk,Toge Productions,118.78,0,"Adventure,Casual,Indie",914800.0,75.0,118.78,Toge ProductionsToge Productions,29 Jan 2020,http://steamcommunity.com/app/914800/reviews/?browsefilter=mostrecent&p=1,Very Positive,"Conversation,Interactive Fiction,Atmospheric,Pixel Graphics,Story Rich,LGBTQ+,Relaxing,Visual Novel,Choices Matter,Simulation,Anime,Multiple Endings,Casual,Singleplayer,Emotional,Fantasy,Experimental,Foreign,Philosophical,Crafting",Coffee Talk,https://store.steampowered.com/app/914800/Coffee_Talk/
11042,Effie,Inverge Studios,56.24,0,"Action,Adventure,Casual,Indie",975950.0,70.0,224.99,Inverge StudiosInverge Studios,28 Jan 2020,http://steamcommunity.com/app/975950/reviews/?browsefilter=mostrecent&p=1,Mostly Positive,"3D Platformer,Collectathon,Cute,Colorful,Cartoony,Cartoon,Fantasy,Platformer,Adventure,Family Friendly,Story Rich,Stylized,Controller,Funny,Puzzle Platformer,Magic,Third Person,Singleplayer,Comedy,Indie",Effie,https://store.steampowered.com/app/975950/Effie/
11043,The Coma 2: Vicious Sisters,"Headup, WhisperGames",151.1,0,"Action,Adventure,Indie",1045720.0,77.0,151.1,"Devespresso GamesHeadup, WhisperGames",28 Jan 2020,http://steamcommunity.com/app/1045720/reviews/?browsefilter=mostrecent&p=1,Overwhelmingly Positive,"Horror,Adventure,Indie,Singleplayer,Survival Horror,Action,Female Protagonist,Anime,Story Rich,Survival,2D,Atmospheric,Psychological Horror,Visual Novel,Exploration,Dark,Violent,Inventory Management,Gore,Nudity",The Coma 2: Vicious Sisters,https://store.steampowered.com/app/1045720/The_Coma_2_Vicious_Sisters/
11196,SD GUNDAM G GENERATION CROSS RAYS Added Dispatch Mission Set 2,"BANDAI NAMCO Entertainment, 株式会社バンダイナムコエンターテインメント",179.99,0,RPG,1170800.0,71.0,359.99,"TOM CREATE, 株式会社トムクリエイトBANDAI NAMCO Entertainment, 株式会社バンダイナムコエンターテインメント",8 Jan 2020,http://steamcommunity.com/app/1170800/reviews/?browsefilter=mostrecent&p=1,Mixed,RPG,SD GUNDAM G GENERATION CROSS RAYS Added Dispatch Mission Set 2,https://store.steampowered.com/app/1170800/SD_GUNDAM_G_GENERATION_CROSS_RAYS_Added_Dispatch_Mission_Set_2/
11369,Blink Cam,安溯媒體技術有限公司,169.99,0,"Action,Adventure,Casual,Indie,RPG,Simulation",1204360.0,71.0,169.99,王鈞治安溯媒體技術有限公司,18 Dec 2019,http://steamcommunity.com/app/1204360/reviews/?browsefilter=mostrecent&p=1,Unknown,"Simulation,Action,Indie,Casual,Adventure,RPG",Blink Cam,https://store.steampowered.com/app/1204360/Blink_Cam/
11415,SONG OF HORROR - Episode 3,🚀 Raiser Games,256.19,0,Adventure,1157230.0,71.0,426.99,Protocol Games🚀 Raiser Games,13 Dec 2019,http://steamcommunity.com/app/1157230/reviews/?browsefilter=mostrecent&p=1,Unknown,"Adventure,Story Rich,Exploration,Survival Horror,Choices Matter",SONG OF HORROR - Episode 3,https://store.steampowered.com/app/1157230/SONG_OF_HORROR__Episode_3/
11463,DRAGON QUEST BUILDERS™ 2,Square Enix,0.0,0,"Action,Adventure,RPG",1072420.0,85.0,0.0,"Square Enix, KOEI TECMO GAMES CO., LTD.Square Enix",10 Dec 2019,http://steamcommunity.com/app/1072420/reviews/?browsefilter=mostrecent&p=1,Very Positive,"RPG,Open World Survival Craft,Adventure,Action,Sandbox,Building,Crafting,JRPG,Anime,Cute,Co-op,Third Person,Voxel,Multiplayer,Colorful,Open World,Platformer,Survival,Singleplayer,Character Customization",DRAGON QUEST BUILDERS™ 2,https://store.steampowered.com/app/1072420/DRAGON_QUEST_BUILDERS_2/
11471,BONEWORKS,Unknown,329.99,0,Unknown,823500.0,72.0,329.99,Unknown,unknown,http://steamcommunity.com/app/823500/reviews/?browsefilter=mostrecent&p=1,Very Positive,"VR,Physics,Action,Sandbox,Shooter,Adventure,Singleplayer,Puzzle,First-Person,Great Soundtrack,Simulation,Realistic,Indie,FPS,Violent,Parkour,Horror,Sci-fi,Gore,Funny",BONEWORKS,https://store.steampowered.com/app/823500/BONEWORKS/
11474,Shovel Knight Showdown,Yacht Club Games,90.99,0,"Action,Adventure,Indie",1116770.0,65.0,129.99,Yacht Club GamesYacht Club Games,10 Dec 2019,http://steamcommunity.com/app/1116770/reviews/?browsefilter=mostrecent&p=1,Very Positive,"Indie,Action,Adventure,Fighting,Pixel Graphics,Local Multiplayer",Shovel Knight Showdown,https://store.steampowered.com/app/1116770/Shovel_Knight_Showdown/
11475,Shovel Knight: King of Cards,Yacht Club Games,90.99,0,"Action,Adventure,Indie",1116780.0,84.0,129.99,Yacht Club GamesYacht Club Games,10 Dec 2019,http://steamcommunity.com/app/1116780/reviews/?browsefilter=mostrecent&p=1,Very Positive,"Indie,Action,Adventure,Platformer,Pixel Graphics,Retro,Singleplayer,2D,Card Game,Great Soundtrack",Shovel Knight: King of Cards,https://store.steampowered.com/app/1116780/Shovel_Knight_King_of_Cards/
11477,Jurassic World Evolution: Return To Jurassic Park,Unknown,240.0,0,"Simulation,Strategy",1144410.0,79.0,600.0,Unknown,10 Dec 2019,http://steamcommunity.com/app/1144410/reviews/?browsefilter=mostrecent&p=1,Very Positive,"Strategy,Simulation,Dinosaurs,Building,Sandbox",Jurassic World Evolution: Return To Jurassic Park,https://store.steampowered.com/app/1144410/Jurassic_World_Evolution_Return_To_Jurassic_Park/
11647,LOST EMBER,Mooneye Studios,89.99,0,"Action,Adventure,Indie",563840.0,78.0,89.99,Mooneye StudiosMooneye Studios,22 Nov 2019,http://steamcommunity.com/app/563840/reviews/?browsefilter=mostrecent&p=1,Very Positive,"Adventure,Indie,Atmospheric,Exploration,Beautiful,Singleplayer,Action,Relaxing,Great Soundtrack,Cute,Story Rich,Experience,Narration,Third Person,Stylized,Walking Simulator,Family Friendly,Short,Female Protagonist,Kickstarter",LOST EMBER,https://store.steampowered.com/app/563840/LOST_EMBER/
11745,Natural Selection 2 - B.M.A.C. Supporter Pack,Unknown,129.99,0,"Action,Indie,Strategy",1183100.0,80.0,129.99,Unknown,14 Nov 2019,http://steamcommunity.com/app/1183100/reviews/?browsefilter=mostrecent&p=1,Unknown,"Strategy,Action,Indie",Natural Selection 2 - B.M.A.C. Supporter Pack,https://store.steampowered.com/app/1183100/Natural_Selection_2__BMAC_Supporter_Pack/
11746,Natural Selection 2 - B.M.A.C. Supporter Pack Plus,Unknown,197.98,0,"Action,Indie,Strategy",1183102.0,80.0,0.0,Unknown,14 Nov 2019,http://steamcommunity.com/app/1183102/reviews/?browsefilter=mostrecent&p=1,Unknown,"Strategy,Action,Indie",Natural Selection 2 - B.M.A.C. Supporter Pack Plus,https://store.steampowered.com/app/1183102/Natural_Selection_2__BMAC_Supporter_Pack_Plus/
11747,Natural Selection 2 - B.M.A.C. Elite Supporter Pack,Unknown,265.97,0,"Action,Indie,Strategy",1183101.0,80.0,0.0,Unknown,14 Nov 2019,http://steamcommunity.com/app/1183101/reviews/?browsefilter=mostrecent&p=1,Unknown,"Strategy,Action,Indie",Natural Selection 2 - B.M.A.C. Elite Supporter Pack,https://store.steampowered.com/app/1183101/Natural_Selection_2__BMAC_Elite_Supporter_Pack/
11758,DRAW CHILLY,AZAMATIKA,20.48,0,"Action,Casual,Indie",839080.0,78.0,20.48,AZAMATIKAAZAMATIKA,12 Nov 2019,http://steamcommunity.com/app/839080/reviews/?browsefilter=mostrecent&p=1,Very Positive,"Indie,Arcade,Pixel Graphics,2D,Replay Value,Comedy,Funny,Singleplayer,Memes,Dark Humor,Retro,Side Scroller,Cute,Hand-drawn,Colorful,Atmospheric,Lore-Rich,Management,Satire,Supernatural",DRAW CHILLY,https://store.steampowered.com/app/839080/DRAW_CHILLY/
11760,Unity of Command II,2x2 Games,569.94,0,"Indie,Simulation,Strategy",809230.0,88.0,569.94,"2x2 Games, Croteam2x2 Games",2x2 Games CroteamPublisher:2x2 GamesFranchise:Unity of Command 12 Nov 2019,http://steamcommunity.com/app/809230/reviews/?browsefilter=mostrecent&p=1,Very Positive,"Strategy,World War II,Simulation,Indie,Turn-Based,Grand Strategy,Wargame,Turn-Based Strategy,Military,War,Turn-Based Combat,Historical,Hex Grid,Singleplayer,Turn-Based Tactics,Alternate History,Tactical,Action",Unity of Command II,https://store.steampowered.com/app/809230/Unity_of_Command_II/
11761,The Legend of Bum-Bo,Edmund McMillen,379.99,0,"Adventure,Indie,Strategy",1148650.0,73.0,379.99,"Edmund McMillen, James Interactive, RidiculonEdmund McMillen",12 Nov 2019,http://steamcommunity.com/app/1148650/reviews/?browsefilter=mostrecent&p=1,Very Positive,"Roguelite,Indie,Strategy,Adventure,Puzzle,Match 3,Singleplayer,Great Soundtrack,Difficult,Card Game,Casual,Funny,RPG,Early Access,Turn-Based,Deckbuilding,Turn-Based Strategy,Horror,Psychological Horror,Roguelike",The Legend of Bum-Bo,https://store.steampowered.com/app/1148650/The_Legend_of_BumBo/
11781,Doctor Who: The Edge Of Time,Unknown,139.99,0,Unknown,1075400.0,60.0,279.99,Unknown,unknown,http://steamcommunity.com/app/1075400/reviews/?browsefilter=mostrecent&p=1,Mixed,"Adventure,VR,Sci-fi,Horror,Puzzle,Singleplayer,Story Rich,Great Soundtrack,Stealth,Indie,Immersive,Casual,Shooter",Doctor Who: The Edge Of Time,https://store.steampowered.com/app/1075400/Doctor_Who_The_Edge_Of_Time/
11800,Tank battle,黄金炫游科技有限公司,67.99,0,"Adventure,Indie,RPG,Simulation",1054630.0,69.0,67.99,"黄金炫游科技有限公司, 黄金612黄金炫游科技有限公司",612Publisher:黄金炫游科技有限公司 1 Nov 2019,http://steamcommunity.com/app/1054630/reviews/?browsefilter=mostrecent&p=1,Unknown,"Indie,Simulation,Adventure,RPG",Tank battle,https://store.steampowered.com/app/1054630/Tank_battle/
11887,Synth Riders,Unknown,837.68,0,Unknown,885000.0,83.0,837.68,Unknown,unknown,http://steamcommunity.com/app/885000/reviews/?browsefilter=mostrecent&p=1,Very Positive,"VR,Rhythm,Music,Indie,Soundtrack,Multiplayer,Action,Swordplay,Singleplayer,First-Person,Fast-Paced,Moddable,Retro,Arcade,Cyberpunk,Casual,Great Soundtrack,Difficult,Sports,Early Access",Synth Riders,https://store.steampowered.com/app/885000/Synth_Riders/
12032,The Beast Inside,"Movie Games S.A., PlayWay S.A.",27.99,0,"Action,Adventure,Indie",792300.0,74.0,279.99,"Illusion Ray StudioMovie Games S.A., PlayWay S.A.",17 Oct 2019,http://steamcommunity.com/app/792300/reviews/?browsefilter=mostrecent&p=1,Very Positive,"Horror,Adventure,Action,Survival Horror,Indie,Multiplayer,First-Person,Survival,Story Rich,Violent,Singleplayer,Gore,Atmospheric,Psychological Horror,Open World,Exploration,Walking Simulator,Realistic,Great Soundtrack,Quick-Time Events",The Beast Inside,https://store.steampowered.com/app/792300/The_Beast_Inside/
12056,Disco Elysium - The Final Cut,ZA/UM,161.98,0,RPG,632470.0,97.0,161.98,ZA/UMZA/UM,15 Oct 2019,http://steamcommunity.com/app/632470/reviews/?browsefilter=mostrecent&p=1,Very Positive,"RPG,Story Rich,Choices Matter,Detective,Isometric,Atmospheric,Singleplayer,CRPG,Noir,Surreal,Point & Click,Indie,Open World,Adventure,Funny,Visual Novel,Exploration,Character Customization,Fantasy,Sexual Content",Disco Elysium - The Final Cut,https://store.steampowered.com/app/632470/Disco_Elysium__The_Final_Cut/
12113,We Were Here Together,Total Mayhem Games,0.0,0,"Adventure,Casual,Indie",865360.0,77.0,0.0,Total Mayhem GamesTotal Mayhem Games,10 Oct 2019,http://steamcommunity.com/app/865360/reviews/?browsefilter=mostrecent&p=1,Very Positive,"Puzzle,Online Co-Op,Escape Room,Adventure,Story Rich,Action-Adventure,Co-op,Linear,Horror,Investigation,Multiplayer,First-Person,Co-op Campaign,Atmospheric,Mystery,Psychological Horror,Dark,Casual,Exploration,Indie",We Were Here Together,https://store.steampowered.com/app/865360/We_Were_Here_Together/
12114,Deliver Us The Moon,Wired Productions,75.39,0,"Action,Adventure,Indie",428660.0,68.0,75.39,KeokeN InteractiveWired Productions,10 Oct 2019,http://steamcommunity.com/app/428660/reviews/?browsefilter=mostrecent&p=1,Very Positive,"Adventure,Indie,Action,Space,Sci-fi,Singleplayer,Story Rich,Atmospheric,Puzzle,Mystery,Space Sim,Drama,Simulation,Exploration,Action-Adventure,Short,Survival,Walking Simulator,Third Person,First-Person",Deliver Us The Moon,https://store.steampowered.com/app/428660/Deliver_Us_The_Moon/
12117,Radio Commander,"Games Operators, PlayWay S.A.",13.59,0,"Indie,Simulation,Strategy",871530.0,65.0,13.59,"Serious SimGames Operators, PlayWay S.A.",10 Oct 2019,http://steamcommunity.com/app/871530/reviews/?browsefilter=mostrecent&p=1,Mostly Positive,"Simulation,Singleplayer,Wargame,Real Time Tactics,Experimental,Difficult,Strategy RPG,Cold War,Tabletop,Strategy,Management,Military,RTS,War,Artificial Intelligence,3D,First-Person,2D,Historical,Top-Down",Radio Commander,https://store.steampowered.com/app/871530/Radio_Commander/
12146,Argonus and the Gods of Stone,Zojoi,32.49,0,Adventure,699540.0,68.0,32.49,ZojoiZojoi,8 Oct 2019,http://steamcommunity.com/app/699540/reviews/?browsefilter=mostrecent&p=1,Very Positive,"Adventure,Mythology,First-Person,Walking Simulator,Puzzle",Argonus and the Gods of Stone,https://store.steampowered.com/app/699540/Argonus_and_the_Gods_of_Stone/
12150,Pilgrims,Amanita Design,33.99,0,"Adventure,Casual,Indie",1049280.0,78.0,67.99,Amanita DesignAmanita Design,7 Oct 2019,http://steamcommunity.com/app/1049280/reviews/?browsefilter=mostrecent&p=1,Overwhelmingly Positive,"Hand-drawn,Stylized,Funny,Short,Cartoon,Replay Value,Relaxing,Singleplayer,2D,Family Friendly,Nonlinear,Card Game,Point & Click,Comedy,Cute,Indie,Cartoony,Puzzle,Adventure,Casual",Pilgrims,https://store.steampowered.com/app/1049280/Pilgrims/
12256,Stygian: Reign of the Old Ones,1C Entertainment,59.99,0,"Indie,RPG",779290.0,81.0,299.99,Cultic Games1C Entertainment,1C EntertainmentFranchise:1C 26 Sep 2019,http://steamcommunity.com/app/779290/reviews/?browsefilter=mostrecent&p=1,Mixed,"RPG,Indie,Lovecraftian,Horror,Turn-Based Combat,Violent,Atmospheric,Adventure,2D,Story Rich,Singleplayer,Choices Matter,Sexual Content,Philosophical,Strategy,Great Soundtrack,CRPG,Party-Based RPG,Isometric,2.5D",Stygian: Reign of the Old Ones,https://store.steampowered.com/app/779290/Stygian_Reign_of_the_Old_Ones/
12270,Wanderlust: Travel Stories,Walkabout,31.19,0,"Adventure,Indie",1051410.0,79.0,31.19,Different TalesWalkabout,26 Sep 2019,http://steamcommunity.com/app/1051410/reviews/?browsefilter=mostrecent&p=1,Very Positive,"Adventure,Visual Novel,Interactive Fiction,Choose Your Own Adventure,Realistic,Text-Based,Documentary,Relaxing,Choices Matter,Nature,Education,Exploration,Point & Click,Casual,Narration,Experimental,LGBTQ+,Story Rich,Capitalism,Multiple Endings",Wanderlust: Travel Stories,https://store.steampowered.com/app/1051410/Wanderlust_Travel_Stories/
12325,Mutazione,Akupara Games,71.49,0,"Adventure,Indie",1080750.0,80.0,71.49,Die Gute FabrikAkupara Games,19 Sep 2019,http://steamcommunity.com/app/1080750/reviews/?browsefilter=mostrecent&p=1,Very Positive,"Relaxing,Story Rich,Walking Simulator,Atmospheric,Interactive Fiction,Supernatural,Mystery,Drama,Female Protagonist,Adventure,Singleplayer,Cute,2D,Colorful,Exploration,Dark,Side Scroller,Point & Click,Music-Based Procedural Generation,Nature",Mutazione,https://store.steampowered.com/app/1080750/Mutazione/
12334,Police Stories,HypeTrain Digital,58.49,0,"Action,Indie,Simulation,Strategy",539470.0,75.0,58.49,Mighty MorganHypeTrain Digital,19 Sep 2019,http://steamcommunity.com/app/539470/reviews/?browsefilter=mostrecent&p=1,Very Positive,"Action,Strategy,Simulation,Co-op,Villain Protagonist,Tactical,Shooter,Multiplayer,Indie,Top-Down Shooter,Online Co-Op,2D,Singleplayer,Pixel Graphics,Atmospheric,Crime,Realistic,Violent,Gore,Difficult",Police Stories,https://store.steampowered.com/app/539470/Police_Stories/
12349,Crying Suns,Humble Games,0.0,0,"Indie,Strategy",873940.0,75.0,0.0,Alt ShiftHumble Games,18 Sep 2019,http://steamcommunity.com/app/873940/reviews/?browsefilter=mostrecent&p=1,Very Positive,"Strategy,Space,Indie,Roguelite,Pixel Graphics,Sci-fi,Post-apocalyptic,Tactical,Roguelike,Real-Time with Pause,Story Rich,2D,Singleplayer,Procedural Generation,Perma Death,RTS,Real Time Tactics,Hex Grid,Resource Management,Dark",Crying Suns,https://store.steampowered.com/app/873940/Crying_Suns/
12358,Football Drama,Open Lab Games,21.59,0,"Adventure,Indie,Sports,Strategy",876190.0,63.0,21.59,Open Lab Games &amp; DemigiantOpen Lab Games,18 Sep 2019,http://steamcommunity.com/app/876190/reviews/?browsefilter=mostrecent&p=1,Mixed,"Indie,Sports,Strategy,Adventure,Interactive Fiction,Soccer,Story Rich,Drama,Football,Dark Humor,Visual Novel,Multiple Endings,Choose Your Own Adventure,Funny,Choices Matter,Turn-Based,Management,Simulation,Turn-Based Tactics,Atmospheric",Football Drama,https://store.steampowered.com/app/876190/Football_Drama/
12361,Little Misfortune,Killmonday Games AB,0.0,0,"Adventure,Casual,Indie",714120.0,57.0,0.0,Killmonday Games ABKillmonday Games AB,18 Sep 2019,http://steamcommunity.com/app/714120/reviews/?browsefilter=mostrecent&p=1,Very Positive,"Adventure,Indie,Point & Click,Choices Matter,Story Rich,Horror,Female Protagonist,Psychological Horror,Singleplayer,Cute,Atmospheric,Dark,Dark Humor,Casual,Great Soundtrack,Dark Fantasy,2D,Funny,Interactive Fiction,Puzzle",Little Misfortune,https://store.steampowered.com/app/714120/Little_Misfortune/
12437,Blasphemous,Team17,0.0,0,"Action,Adventure,Indie",774361.0,77.0,0.0,The Game KitchenTeam17,17Franchise:Team17 10 Sep 2019,http://steamcommunity.com/app/774361/reviews/?browsefilter=mostrecent&p=1,Very Positive,"Metroidvania,Souls-like,Pixel Graphics,Gore,Violent,Dark Fantasy,Action,2D,Indie,Platformer,Adventure,Blood,Horror,Difficult,Singleplayer,Gothic,Lore-Rich,Great Soundtrack,Side Scroller,Nudity",Blasphemous,https://store.steampowered.com/app/774361/Blasphemous/
12448,Battlewake,Unknown,12.99,0,Unknown,814400.0,70.0,12.99,Unknown,unknown,http://steamcommunity.com/app/814400/reviews/?browsefilter=mostrecent&p=1,Mixed,"Strategy,Action,Adventure,Indie,VR,Casual,Simulation,Pirates,Naval,Singleplayer,Fantasy,Multiplayer,Shooter,Survival,First-Person,Arcade,PvP,FPS,Online Co-Op,Co-op Campaign",Battlewake,https://store.steampowered.com/app/814400/Battlewake/
12469,Creature in the Well,Flight School Studio,179.99,0,"Action,Indie",852300.0,82.0,179.99,"Flight School Studio, MWM InteractiveFlight School Studio",6 Sep 2019,http://steamcommunity.com/app/852300/reviews/?browsefilter=mostrecent&p=1,Mostly Positive,"Action,Indie,Pinball,Top-Down,Dungeon Crawler,Singleplayer,Fast-Paced,Hack and Slash",Creature in the Well,https://store.steampowered.com/app/852300/Creature_in_the_Well/
12581,The Bard's Tale IV: Director's Cut,inXile Entertainment,83.19,0,RPG,1091980.0,84.0,259.99,inXile EntertainmentinXile Entertainment,27 Aug 2019,http://steamcommunity.com/app/1091980/reviews/?browsefilter=mostrecent&p=1,Mostly Positive,"RPG,Turn-Based,Party-Based RPG,Dungeon Crawler,Puzzle,Fantasy,First-Person,CRPG,Singleplayer,Turn-Based Combat,Character Customization",The Bard's Tale IV: Director's Cut,https://store.steampowered.com/app/1091980/The_Bards_Tale_IV_Directors_Cut/
12605,Telling Lies,Annapurna Interactive,45.55,0,"Adventure,Indie,Simulation",762830.0,84.0,45.55,"Sam Barlow, Half Mermaid, Furious Bee LimitedAnnapurna Interactive",23 Aug 2019,http://steamcommunity.com/app/762830/reviews/?browsefilter=mostrecent&p=1,Mixed,"Thriller,Detective,Mystery,Story Rich,Adventure,FMV,Realistic,Puzzle,Open World,Music,Crime,Simulation,Singleplayer,Sexual Content,Interactive Fiction,Indie,Atmospheric,Drama,Investigation,Female Protagonist",Telling Lies,https://store.steampowered.com/app/762830/Telling_Lies/
12606,Mable & The Wood,Graffiti Games,44.99,0,"Action,Adventure,Indie",568070.0,62.0,179.99,Triplevision GamesGraffiti Games,23 Aug 2019,http://steamcommunity.com/app/568070/reviews/?browsefilter=mostrecent&p=1,Mixed,"Metroidvania,Exploration,2D Platformer,Difficult,Platformer,Female Protagonist,2D,Cute,Story Rich,Multiple Endings,Nonlinear,Choices Matter,Pixel Graphics,Colorful,Fantasy,Atmospheric,Adventure,Combat,Singleplayer,Indie",Mable &amp; The Wood,https://store.steampowered.com/app/568070/Mable__The_Wood/
12641,Winds of Change,Klace,77.99,0,"Adventure,Indie,RPG",594130.0,74.0,77.99,KlaceKlace,21 Aug 2019,http://steamcommunity.com/app/594130/reviews/?browsefilter=mostrecent&p=1,Very Positive,"Visual Novel,Story Rich,LGBTQ+,Romance,Choices Matter,Point & Click,Adventure,Indie,Choose Your Own Adventure,Dating Sim,Simulation,Anime,Dark,RPG,Female Protagonist,Violent,2D,Cartoony,Beautiful,Stylized",Winds of Change,https://store.steampowered.com/app/594130/Winds_of_Change/
12650,RAD,BANDAI NAMCO Entertainment America Inc.,244.0,0,Action,722560.0,71.0,244.0,Double Fine ProductionsBANDAI NAMCO Entertainment America Inc.,19 Aug 2019,http://steamcommunity.com/app/722560/reviews/?browsefilter=mostrecent&p=1,Mostly Positive,"Action,Roguelite,Action Roguelike,Post-apocalyptic,Difficult,Singleplayer,Great Soundtrack,Perma Death,Procedural Generation,Funny,Roguelike,Indie,1980s",RAD,https://store.steampowered.com/app/722560/RAD/
